gen_loss,disc_BCH_loss,cycle_loss,identity_loss,disc_BCH_Placenta_loss,disc_HBCD_Site5_Arkansas_UNC_loss,disc_HBCD_Site6_Cincinnati_loss,disc_VGH_Unknown_loss,disc_dHCP_loss
4.289614623295512,0.7019588506164182,0.45245660550640404,0.5162655812098784,0.707317,0.7263763,0.7032471,0.7208382,0.7143683
4.123344023216174,0.6532294231912364,0.44478783709703434,0.5066387243820849,0.65320987,0.6530772,0.652818,0.6543264,0.65345556
4.097224799561616,0.6693904525415909,0.445541075102373,0.5057249437351734,0.6516134,0.6519146,0.6517241,0.65248895,0.6522226
4.181374891829376,0.661380293691792,0.44715861275000274,0.5089791211816999,0.6512159,0.65148073,0.65145254,0.65196145,0.65183616
4.151255615667444,0.6518847723513985,0.44573898072116047,0.5061596397616437,0.65112734,0.65131295,0.65125537,0.6515379,0.6514166
4.129103237188956,0.6514857705664521,0.44542758410103656,0.5063279017446122,0.6510216,0.65112126,0.65105295,0.65144163,0.651375
4.1182774586378095,0.6512732888765381,0.4460594469942332,0.5056809976049093,0.6509336,0.65109307,0.6510452,0.65112644,0.651229
4.126658455185269,0.651044988401846,0.44535524460716525,0.50591044831967,0.65091324,0.650974,0.6508902,0.65110624,0.65126806
4.1230834036057695,0.6510465762465473,0.44550241534260737,0.5055974310578931,0.65086246,0.6509866,0.65087444,0.6510471,0.65111995
4.116420660617846,0.6509424518271921,0.4457005161306132,0.5049283177524373,0.650898,0.6508583,0.6510039,0.65097636,0.6510607
4.117546870512663,0.6509884161073805,0.44541850278630923,0.5049903208218911,0.65082216,0.6509044,0.6508341,0.6509871,0.6510291
4.1163049517046435,0.6509753148912808,0.4448873639106751,0.505267982048113,0.6508927,0.6508543,0.6508158,0.65104353,0.65102315
4.115442990680823,0.6509440252170471,0.44495750235186676,0.5053787909844071,0.65079224,0.6507993,0.6509113,0.6510072,0.6509518
4.108601881570863,0.6508947818751496,0.44591313514156616,0.5047965652556811,0.6508836,0.65078336,0.65079546,0.650872,0.6509001
4.103088829367634,0.6508929920657246,0.4454462121074326,0.5050164806957982,0.65078497,0.6508403,0.6507736,0.6508857,0.65087736
4.129201869457816,0.654864896207616,0.44553735852241516,0.5051656092710541,0.65075463,0.65081006,0.65069044,0.6508525,0.6509874
4.13807395402936,0.6508351857535504,0.44475171738776614,0.5065390493558801,0.65074754,0.65074605,0.6507581,0.6508362,0.6509277
4.122641725240698,0.6507213953612507,0.4452508024691384,0.5064253519698618,0.6507093,0.6507123,0.6507529,0.6508051,0.6507674
4.097338976491477,0.6507765740588092,0.4439167994951857,0.5071109527982952,0.65077096,0.6507366,0.6507252,0.6507402,0.6508928
4.087098348428661,0.6507496459472581,0.44524233935823765,0.5062088755449811,0.65084803,0.65075725,0.650702,0.6508256,0.65080917
4.068284747450824,0.6507228467775428,0.4445588351735746,0.5062497130914586,0.6507216,0.6507059,0.65071887,0.6507257,0.6508119
4.058299808571304,0.6507402126915789,0.4457991999992426,0.5063150239883413,0.65067893,0.65070605,0.65077853,0.6508649,0.65078694
4.045428393428452,0.6507116096031264,0.4451897005672041,0.5061280859409323,0.6507683,0.65064937,0.65060055,0.65076494,0.65076774
4.034399241180236,0.6507437508463284,0.44566329550627926,0.5058855796061853,0.65070724,0.65075696,0.65069574,0.6506563,0.6507305
4.023270071647017,0.6507108711390104,0.4451581612445306,0.5065544062910449,0.65073574,0.65063566,0.65061504,0.6506986,0.6507865
4.019095528068174,0.6507377509333662,0.4452825073458722,0.5066817175219025,0.650712,0.65066946,0.6506896,0.65078557,0.65065694
4.00931316850266,0.6506484535581248,0.4448447169888999,0.5063914448166815,0.650715,0.6507313,0.6506606,0.65061706,0.6507051
4.005842113149338,0.6505998473236527,0.444895432608715,0.5065572850370177,0.65063757,0.6506514,0.65059054,0.6507527,0.6507679
4.000945351549968,0.6506677950637927,0.44555756747722625,0.5061188981152963,0.6506702,0.6506632,0.6507135,0.650677,0.65073663
4.005368960076484,0.662460419981952,0.4443886984373636,0.5067986390296964,0.6506347,0.65059555,0.65058464,0.6506439,0.6506775
4.053598959779969,0.6519187387061003,0.4457944314404962,0.5058456379146392,0.6507069,0.6506585,0.65061224,0.65066594,0.650628
4.055240528595045,0.6507332248964172,0.44524904709795243,0.5064604371210227,0.65061665,0.6506854,0.65061885,0.65060437,0.6507121
4.058516667430528,0.6508236451425412,0.44528036303278334,0.5062055498793505,0.6506482,0.6506691,0.65059066,0.6506056,0.6506828
4.058400967846746,0.6507399954081734,0.44584599202093866,0.5061170471175281,0.65066534,0.6505897,0.65061885,0.65062195,0.6506222
4.056388157807687,0.6507589859663001,0.4447957932805094,0.5066553378162751,0.65061027,0.65064853,0.65060025,0.65064377,0.6507052
4.056664789932362,0.6507829881520663,0.4451022274684216,0.5063378009531233,0.65063685,0.65060306,0.6506519,0.6506166,0.65068406
4.051506733548814,0.6506748929691775,0.4450560397571987,0.5067176358567345,0.65067047,0.65063363,0.6505352,0.65058553,0.65062505
4.049932829538982,0.6506948409449076,0.4445458482572998,0.506423125549215,0.6506915,0.6505024,0.65057707,0.6506248,0.65060115
4.049584823069365,0.6507805602562025,0.44449440633905113,0.5067883115315782,0.65065616,0.6506488,0.6505843,0.6506324,0.6505663
4.044663332971399,0.6506969563627012,0.44386943303732485,0.5072587211062942,0.6506006,0.65053254,0.65055823,0.6505774,0.65064126
4.0441591646360315,0.6507806848788606,0.445398302441058,0.5061894642702047,0.65063626,0.65063757,0.650541,0.65060604,0.65054053
4.04575936080177,0.6506811982191704,0.4457925680898813,0.5061004723327748,0.6506118,0.6505797,0.6505811,0.6505631,0.6506059
4.035819029577689,0.6506682949941517,0.44478142035468193,0.5067383370681661,0.65058565,0.6505413,0.6505519,0.6505749,0.65060174
4.029272016465376,0.6506632402323295,0.4444477456347378,0.5065401022272985,0.6505924,0.6505844,0.65055496,0.65063643,0.6505621
4.030502896953896,0.6509232512418774,0.44507019581714113,0.506493935579263,0.6506479,0.6506516,0.65055525,0.6504874,0.65055484
4.026002038273835,0.6505264431958038,0.4447591675364453,0.5066813351019569,0.65061617,0.650574,0.6505389,0.6505215,0.65059674
4.02291895583056,0.6506026486267791,0.44548566375953563,0.5060144919704125,0.6505354,0.6505174,0.6505202,0.65059036,0.650581
4.018109915682659,0.650621395410547,0.4444016122443665,0.5068596874170257,0.6506254,0.650564,0.6505875,0.6505284,0.6505271
4.019908831891231,0.6506142795373852,0.44510209967836667,0.5064944694583543,0.6505726,0.6505793,0.65049344,0.6505842,0.6505232
4.015741643813498,0.6506576950423384,0.44553381561657085,0.5061741074070263,0.6528383,0.6505373,0.6505398,0.65056974,0.6504879
4.022118445179888,0.6506236969560816,0.44599225361278094,0.5057948212692703,0.65057844,0.6505682,0.65053856,0.6505154,0.6505924
4.016547127852694,0.6506224471589793,0.4448342908983644,0.5065134213454482,0.6504972,0.6505447,0.65049773,0.65056634,0.65056354
4.014413957089042,0.6506177857878127,0.4451020670829764,0.5063781117615492,0.65060484,0.65057164,0.6505277,0.65047586,0.65049046
4.014114248464648,0.6506499945253565,0.4454809178188802,0.5061494020304242,0.6505956,0.6505315,0.6505563,0.65057236,0.65056604
4.012839778840254,0.6505612186763597,0.4448667107572878,0.5067022248886633,0.6506572,0.6505121,0.6504701,0.65047646,0.6505814
