site,subject_id,idx,original_mean,original_std,raw_mean,raw_std,enhanced_mean,enhanced_std,contrast_improvement,mae_raw,mae_enhanced
TMC,BM37nii,228,0.4384539646921439,0.1596458184578513,0.0,0.0,0.43707937,0.15401286,15401285.886764526,0.4384539646921439,0.07838232869582178
TMC,BM142nii,9,0.45356518106576854,0.16556670461555545,0.0,0.0,0.452477,0.16157919,16157919.16847229,0.45356518106576854,0.0725298879972211
TMC,BM146_2nii,57,0.45830773526947777,0.17504305313195467,0.0,0.0,0.45703986,0.17035857,17035856.84299469,0.45830773526947777,0.08753705747529708
TMC,BM146_2nii,60,0.40797509030240037,0.14712808823705056,0.0,0.0,0.40763658,0.14567567,14567567.40808487,0.40797509030240037,0.07481476285542814
TMC,BM144nii,25,0.4373457915791058,0.1569624449513034,0.0,0.0,0.43646023,0.1533536,15335360.169410706,0.4373457915791058,0.08244975546922301
TMC,BM146_2nii,63,0.42618775966070205,0.16493752286297578,0.0,0.0,0.42492238,0.15975028,15975028.276443481,0.42618775966070205,0.07700986250124754
TMC,BM152_2nii,93,0.3935351227869789,0.1385418856744261,0.0,0.0,0.39304113,0.1361176,13611760.73551178,0.3935351227869789,0.08185232024290695
TMC,BM160nii,185,0.45765440758927084,0.17536876995906958,0.0,0.0,0.4559696,0.16918686,16918686.032295227,0.45765440758927084,0.08557467542207683
TMC,BM39nii,260,0.40800441388676684,0.17787121570100636,0.0,0.0,0.40603748,0.17017734,17017734.050750732,0.40800441388676684,0.08930991106613016
TMC,BM144nii,46,0.4445107546935223,0.1680627968601312,0.0,0.0,0.44362178,0.1648239,16482390.463352203,0.4445107546935223,0.06973453009098317
VGH_Site3_Siemens,0134,354,0.42695586496129123,0.15071996523526685,0.0,0.0,0.4242038,0.13621816,13621816.039085388,0.42695586496129123,0.09228526013579032
VGH_Site3_Siemens,0415,361,0.4613879626388607,0.1661279462080421,0.0,0.0,0.4590721,0.15679477,15679477.155208588,0.4613879626388607,0.08256166822755422
VGH_Site3_Siemens,0123,331,0.3823574076555451,0.15161057133469505,0.0,0.0,0.38093325,0.14489163,14489163.45834732,0.3823574076555451,0.09193798731832531
VGH_Site3_Siemens,0420,365,0.46308882118584493,0.14788231205110663,0.0,0.0,0.46108487,0.13756213,13756212.592124939,0.46308882118584493,0.08617096841954577
VGH_Site3_Siemens,0420,368,0.4903070046654269,0.12888656949162453,0.0,0.0,0.48971665,0.12631118,12631118.297576904,0.4903070046654269,0.09037995024806254
VGH_Site3_Siemens,0123,325,0.3294054344901802,0.13641334220055348,0.0,0.0,0.32921782,0.1354226,13542260.229587555,0.3294054344901802,0.08002602723702068
VGH_Site3_Siemens,0074,316,0.3784730663753971,0.13456562714890333,0.0,0.0,0.37717533,0.12680764,12680764.496326447,0.3784730663753971,0.07362548919041781
VGH_Site3_Siemens,0420,374,0.4834890301298184,0.1698718648494554,0.0,0.0,0.4801136,0.1549031,15490309.89408493,0.4834890301298184,0.09102590757339159
VGH_Site3_Siemens,0132,351,0.3524962376496761,0.1531099446351447,0.0,0.0,0.35186547,0.15015592,15015591.68100357,0.3524962376496761,0.06373822602982032
VGH_Site3_Siemens,0420,375,0.46233702337023375,0.15959772317600687,0.0,0.0,0.4591813,0.14395376,14395375.549793243,0.46233702337023375,0.09517228477378631
VGH_Site4_GE,0707,475,0.44055350219605066,0.10340401554727068,0.0,0.0,0.4405064,0.1031318,10313180.088996887,0.44055350219605066,0.07732877870038556
VGH_Site4_GE,0488,382,0.5405589007256446,0.12243873440943533,0.0,0.0,0.53880244,0.11250938,11250937.730073929,0.5405589007256446,0.09393757665018203
VGH_Site4_GE,0678,459,0.4442762148337597,0.10729653275367577,0.0,0.0,0.44421506,0.1069538,10695379.972457886,0.4442762148337597,0.06555383645880457
VGH_Site4_GE,0678,457,0.45324553283402064,0.10883569460736227,0.0,0.0,0.4528427,0.106595226,10659522.56321907,0.45324553283402064,0.06930057267140645
VGH_Site4_GE,0651,434,0.535236802413273,0.1341801130984168,0.0,0.0,0.53347355,0.1271904,12719039.618968964,0.535236802413273,0.08937739490240049
VGH_Site4_GE,0716,486,0.4866402822472002,0.11088346244656488,0.0,0.0,0.4845825,0.09385671,9385670.721530914,0.4866402822472002,0.08348491513631283
VGH_Site4_GE,0668,451,0.5413805832410483,0.13907011360775445,0.0,0.0,0.53879714,0.12609875,12609875.202178955,0.5413805832410483,0.0946033560217334
VGH_Site4_GE,0707,480,0.5988571629819417,0.11644768323903931,0.0,0.0,0.5967203,0.10668154,10668154.060840607,0.5988571629819417,0.10303662458316672
VGH_Site4_GE,0621,410,0.503700944486296,0.11219655616157623,0.0,0.0,0.5027913,0.10730597,10730596.631765366,0.503700944486296,0.06816083045202045
VGH_Site4_GE,0744,498,0.46051869820092983,0.11058565830365281,0.0,0.0,0.4597402,0.105737746,10573774.576187134,0.46051869820092983,0.09007220213259498
