ssim,psnr,mae,mse,nmse,hist_kl_div,hist_corr,contrast_original,contrast_harmonized,contrast_change,contrast_ratio,snr_original,snr_harmonized,snr_change,cnr_original,cnr_harmonized,cnr_preservation,sharpness_original,sharpness_harmonized,sharpness_change,site,epoch,ga
,5.7547707848950225,0.5052417890046575,0.2657803821358572,13.201440773374745,22.187006851277904,-0.005655500580960565,0.14188964008207777,0.014403093,0.12748654740716675,0.10150911406560931,0.24442951528594928,36.83625623754893,36.59182672226298,6.31354536089022,1.0948820108787738,0.1734179366045157,0.18700915572770854,0.05850248,0.12850667534002086,VGH_Site4_GE,200,25.0
,5.776750928115555,0.5031810978023424,0.26443863528551503,11.893995686094215,22.079060343676247,-0.0052287361889363304,0.14910714942319755,0.0144174,0.1346897497708953,0.09669153183572256,0.2559377588593952,36.802959893984955,36.54702213512556,5.830601890150303,1.1044830626371147,0.18942865274486378,0.21072607152681314,0.05904878,0.1516772922180172,VGH_Site4_GE,200,25.0
,5.7824769505409135,0.50212803853322,0.2640902118402733,14.096839420973053,21.976395432014854,-0.004639496034532918,0.13687217237151175,0.014395175,0.12247699780113011,0.1051723901888907,0.2558517532600973,36.85707708586381,36.60122533260371,5.67142038935504,1.0965693744826384,0.19335004236457967,0.20431700716941886,0.058927845,0.1453891619595819,VGH_Site4_GE,200,25.0
,5.780552287119402,0.5025175654287038,0.26420727467133526,13.567814773442267,22.042433584552253,-0.004842183261210065,0.13954597715775846,0.014394143,0.1251518344927895,0.10314981432390609,0.25540985682065825,36.86010030269862,36.604690445877964,5.860269469672492,1.0964059734322193,0.18709139182683002,0.193483729167303,0.058294334,0.13518939564975158,VGH_Site4_GE,200,25.0
,6.229391986623318,0.45804644541223005,0.23826530180368163,6.62109014377626,20.230101398486852,0.0006367723448114778,0.1896992395734635,0.014445207,0.17525403249172836,0.07614794003779674,0.42595443658843574,36.770425486175505,36.34447104958707,6.547556204733682,1.2218435924325763,0.1866106303422206,0.33533811290786164,0.061922386,0.27341572661921876,VGH_Site4_GE,200,25.0
,6.415608928434743,0.44315875148076683,0.22826488498686087,5.002527345385754,19.95024099288634,-0.002031090163167269,0.21361156918017474,0.01449782,0.19911374889223185,0.06787001127740563,0.4832166221176005,36.65709241300379,36.173875790886186,5.989302045322028,1.2870169470133954,0.21488596419507117,0.4563176229391971,0.06528441,0.3910332143102565,VGH_Site4_GE,200,25.0
,6.490376083130533,0.4358933095673653,0.22436876202316194,4.279542603797146,19.591088988977106,-0.00032769124096390575,0.2289720525776448,0.014522727,0.21444932593008897,0.06342575807749973,0.5061233220063063,36.60559455291548,36.099471230909174,6.243658463608902,1.323512606251478,0.21197709833838385,0.4596186179566704,0.065686055,0.39393256342891086,VGH_Site4_GE,200,25.0
,6.494002294206577,0.43750472568741483,0.2241814999347227,3.7534407020770324,20.04562023811355,-0.0031968672351990117,0.244390921737327,0.014562782,0.22982813983715952,0.05958806162177752,0.5110699564854456,36.51297731363814,36.001907357152696,6.173454791069671,1.346972680295383,0.2181878257312249,0.48902861463296327,0.06586624,0.4231623752640477,VGH_Site4_GE,200,25.0
,6.164970502064639,0.46421189321615813,0.24182597630591857,6.292051500743581,20.519848524901043,-0.001911962888273478,0.1960447804676684,0.014466536,0.18157824423632943,0.0737919951702302,0.4053758738878652,36.71516959658465,36.30979372269679,7.021184829850352,1.214202288866879,0.17293410109008872,0.34271639920314073,0.061969135,0.28074726424654245,VGH_Site4_GE,200,25.0
,6.206018429518455,0.46054719892295604,0.23955109316195897,5.994246376423296,20.41797412137286,-0.002022909953035177,0.1999087158866668,0.0144737,0.1854350159220839,0.07240154175555308,0.41880421085227854,36.70052261902416,36.28171840817188,6.759275150812959,1.2262378330936743,0.18141558139293013,0.3645237934451251,0.06269376,0.3018300336461215,VGH_Site4_GE,200,25.0
